BODEGA1,DESC_BODEGA1,NEGOCIO1,DESC_NEGOCIO1,PRESENT1,ARTICULO1,DESCRIPCION1,UVUP1,INICIAL1,ENTRADAS1,SALIDAS1,VENTAS1,DEVOLCLI1,COMPRAS1,EXISTENCIAS1,SEPARACION1,RESERVAS1,TRANSITO1,NO_APTA_TOTAL1
01,TECNOQUIMICAS YUMBO,071,COLBÓN INDUSTRIAL,ROL48MMX200M,0365873,CINTA OPP COLBON TTE STD,24,24,0,0,0,0,0,24,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,POTX1KG,0114345,PEGANTE COLBON MADERA 1K,12,894,0,0,0,0,0,846,48,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,BOLX12ROL,0168014,CINTA COLBON PAPELERIA12MMX40M,36,710,0,0,0,0,0,668,42,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,BOLX12ROL,0179544,CINTA COLBON PAPELERIA12MMX20M,72,2763,0,2,0,0,0,2532,229,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,FCOX115G,0209889,PEGANTE COLBON UNIVERSAL,24,11186,0,24,0,0,0,9986,1176,0,24,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,POTX4KG,0289863,PEGANTE COLBON PAPEL,6,354,0,0,0,0,0,324,30,0,4,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,BOL48MMX40M,0319207,CINTA COLBON ENMASC STANDAR 48,36,16882,0,0,0,0,0,16882,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL36MMX40M,0320157,CINTA COLBON ENMASC STANDAR 36,48,465,0,0,0,0,0,465,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,BOL24MMX40M,0324784,CINTA COLBON ENMASC STANDAR 24,72,10211,0,20,0,0,0,10191,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,BOL18MMX40M,0324944,CINTA COLBON ENMASC STANDAR 18,96,8056,0,20,0,0,0,8036,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,BOL12MMX40M,0325008,CINTA COLBON ENMASC STANDAR 12,144,1073,0,0,0,0,0,1073,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL24MMX20M,0326773,C COLBON ENMASC STANDAR 24X20,72,6790,0,456,0,0,0,5673,661,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL18MMX20M,0327189,C COLBON ENMASC STANDAR 18X20,96,10278,0,768,0,0,0,8927,583,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL12MMX20M,0328922,C COLBON ENMASC STANDAR 12X20,144,7820,0,0,0,0,0,7237,583,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,TUBX8G,0340012,PEGANTE COLBON STICK 8G,240,17387,0,1697,0,0,0,15000,690,0,120,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,TUBOX21G,0340210,PEGANTE COLBON STICK 21G,160,52384,0,679,0,0,0,51301,404,0,140,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,TUBOX36G,0340449,PEGANTE COLBON STICK 36G,96,27998,0,20,0,0,0,27978,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,FCOX245G,0356394,PEGANTE COLBON MADERA,24,2897,0,24,0,0,0,2521,352,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,FCOX40G,0456704,PEGANTE COLBON UNIVERSAL,120,11786,0,20,0,0,0,10510,1256,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,FCOX245G,0468299,PEGANTE COLBON PAPEL,24,2174,0,0,0,0,0,2168,6,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,FCOX225G,0614913,PEGANTE COLBON UNIVERSAL,24,11534,448,0,0,0,0,10864,1118,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,POTX225G+OFE,0626859,UNI225+2STICKX21G PESPECIAL,16,562,0,0,-48,0,0,570,40,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL48MMX100M,0641047,CINTA COLBON EMPAQUE TTE TRAD,72,13023,1296,40,0,0,0,13175,1104,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL48MMX40M,0641054,CINTACOLBON EMPSUPER TTE AUTOS,72,637,0,0,0,0,0,637,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,2FCOX115G,0641887,COLBONUNIU115X2UNIDPRECESP,12,12,0,0,0,0,0,12,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,POTEX245G,0642514,PAPEL 245G + STICK 8G PESPEC,18,2,0,0,0,0,0,2,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,TUBOX21G,0645254,COLBON STICK 21G X2UND PRE ESP,40,1303,0,320,-120,0,0,1103,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,POTEX245G,0645261,PEG PAPEL 245G GRATIS STICK 8G,18,36,0,0,0,0,0,0,36,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,TUBOX36G,0645278,COLBON STICK 36G X2UND PRE ESP,31,2571,0,471,0,0,0,2038,62,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,POTEX225G,0645285,UNIVERSAL 225G SICK 8G PESPECI,24,3,0,0,0,0,0,3,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,BOLX3ROL,0647830,CINTA COLBON EMPAQUE 48MMX40M,30,1452,0,0,0,0,0,1450,2,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL48MMX40M,0649386,CINTA COLBON EMPAQUE TTE,72,23981,0,22,0,0,0,22759,1200,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,BOLX12ROL,0649638,CINTA 12 X 5 X 12 ROLLOS,72,4557,0,0,-2,0,0,4541,18,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL48MMX200M,0661797,CINTA COLBON EMPAQUE TTEX200,24,2835,1008,0,0,0,0,3237,606,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL48MMX100M,0662134,CINTA COLBON EMPAQUE TTE AUTO,72,70,0,0,0,0,0,67,3,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,TACOX6UND,0662158,CINTA PAP 24X40M CORE GRANDEX6,24,908,0,0,0,0,0,881,27,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,POTX480G,0662219,PEGANTE COLBON MADERA 480G,12,330,0,12,0,0,0,264,54,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,POTX480G,0662226,PEGANTE COLBON PAPEL 480G,12,1279,0,0,0,0,0,1273,6,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,2X115+12X20,0662271,COLBONUNIV.115GX2+CP12X20MM,9,11,0,0,0,0,0,11,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,2X225+12X20,0662295,COLBONUNIV.225GX2+ENM12X20MM,9,9,0,0,-9,0,0,9,9,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,P.1KG+F.245,0662349,PEGANTE COLBON PAPEL 1KG+245G,5,43,0,0,0,0,0,43,0,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL12MMX20M,0701514,CINTA COLBON PAPELERIA,228,1207,0,0,0,0,0,1206,1,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,BOLX6ROL,0718028,CINTA COLBON EMPAQUE 48MMX30M,12,7347,2592,480,0,0,0,8556,903,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,ROL12MMX40M,0718554,CINTA COLBON PAPELERIA,144,1313,0,0,0,0,0,1312,1,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,FCOX20G,0747059,PEGANTE COLBON UNIVERSAL,240,7310,0,480,0,0,0,6164,666,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,POTX1KG,0757869,PEGANTE COLBON PAPEL,12,771,0,12,0,0,0,711,48,0,0,0
01,TECNOQUIMICAS YUMBO,073,COLBÓN,POTX4KG,0945071,PEGANTE COLBON MADERA 4KG,6,113,0,12,0,0,0,95,6,0,0,0
BODEGA3,DESC_BODEGA3,NEGOCIO3,DESC_NEGOCIO3,ARTICULO3,DESCRIPCION3,PRESENT3,UVUP3,INICIAL3,ENTRADAS3,SALIDAS3,VENTAS3,DEVOLCLI3,COMPRAS3,EXISTENCIAS3,SEPARACION3,RESERVAS3,TRANSITO3,NO_APTA_TOTAL3,ANO3,MES3
CP_USUARIO,CP_FECHA_IMPRESION,CP_IMPRIMIR_CARATULA,CP_NOMBRE_REPORTE
015BLO,02 MAR 2025 05:22:57 PM,SI,I05
